//This file is automatically generated by extract_table.py
//Following contents are extracted from page 321
Bytes, 1 I/O, 1 Admin, 1 Disc, Description
347:344, O, O, R, ANA Group Identifier Maximum (ANAGRPMAX)
351:348, O, O, R, Number of ANA Group Identifiers (NANAGRPID)
355:352, O, O, R, Persistent Event Log Size (PELS)
357:356, O, O, O, Domain Identifier (DID)
358, O, P, P, Key Per I/O Capabilities (KPIOC)
359, , , , Reserved
361:360, O, O, R, Maximum Processing Time for Firmware Activation Without Reset (MPTFAWR)
367:362, , , , Reserved
383:368, O, R, R, Max Endurance Group Capacity (MEGCAP)
384, O, O, O, Temperature Threshold Hysteresis Attributes (TMPTHHA)
385, , , , Reserved
387:386, M, M, M, Command Quiesce Time (CQT)
511:388, , , , Reserved
512, M, M, R, Submission Queue Entry Size (SQES)
513, M, M, R, Completion Queue Entry Size (CQES)
515:514, M, M, M, Maximum Outstanding Commands (MAXCMD)
519:516, M, M, R, Number of Namespaces (NN)
523:522, M, M, R, Fused Operation Support (FUSES)
524, M, M, R, Format NVM Attributes (FNA)
525, M, M, R, Volatile Write Cache (VWC)
527:526, M, R, R, Atomic Write Unit Normal (AWUN)
529:528, M, M, R, Atomic Write Unit Power Fail (AWUPF)
530, M, M, R, I/O Command Set Vendor Specific Command Configuration (ICSVSCC)
531, M, M, R, Namespace Write Protection Capabilities (NWPC)
533:532, O, R, R, Atomic Compare & Write Unit (ACWU)
535:534, M, R, R, Copy Descriptor Formats Supported (CDFS)
539:536, O, O, M, SGL Support (SGLS)
543:540, O, O, R, Maximum Number of Allowed Namespaces (MNAN)
559:544, O, R, R, Maximum Domain Namespace Attachments (MAXDNA)
563:560, O, R, R, Maximum I/O Controller Namespace Attachments (MAXCNA)
567:564, O, R, R, Optimal Aggregated Queue Depth (OAQD)
568, O, R, R, Recommended Host-Initiated Refresh Interval (RHIRI)
569, O, R, R, Host-Initiated Refresh Time (HIRT)
571:570, O, O, P, Controller Maximum Memory Range Tracking Descriptors (CMMRTD)
573:572, O, O, P, NVM Subsystem Maximum Memory Range Tracking Descriptors (NMMRTD)
574, O, O, P, Minimum Memory Range Tracking Granularity (MINMRTG)
575, O, O, P, Maximum Memory Range Tracking Granularity (MAXMRTG)
576, O, O, P, Tracking Attributes (TRATTR)
577, , , , Reserved
579:578, O, O, P, Maximum Controller User Data Migration Queues (MCUDMQ)
581:580, O, O, P, Maximum NVM Subsystem User Data Migration Queues (MNSUDMQ)
583:582, O, O, P, Maximum CDQ Memory Ranges (MCMR)
585:584, O, O, P, NVM Subsystem Maximum CDQ Memory Ranges (NMCMR)
587:586, O, O, P, Maximum Controller Data Queue PRP Count (MCDQPC)
767:588, , , , Reserved
1023:768, M, M, R, NVM Subsystem NVMe Qualified Name (SUBNQN)
1791:1024, , , , Reserved
1795:1792, 2 M, R, R, I/O Queue Command Capsule Supported Size (IOCCSZ)
1799:1796, 2 M, R, R, I/O Queue Response Capsule Supported Size (IORCSZ)
1801:1800, 2 M, R, R, In Capsule Data Offset (ICDOFF)
1802, 2 M, 2 M, R, Fabrics Controller Attributes (FCATT)
1803, 2 M, 2 M, R, Maximum SGL Data Block Descriptors (MSDBD)
1805:1804, 2 M, 2 M, R, Optional Fabrics Commands Support (OFCS)
1806, R, R, O, Discovery Controller Type (DCTYPE)
2047:1807, , , , Reserved
2079:2048, M, M, R, Power State 0 Descriptor (PSD0)
2111:2080, O, O, R, Power State 1 Descriptor (PSD1)
2143:2112, O, O, R, Power State 2 Descriptor (PSD2)
3071:3040, O, O, R, Power State 31 Descriptor (PSD31)
4095:3072, O, O, O, Vendor Specific (VS)
